class_name,precision,recall,f1-score,support,value
Angry,0.5229357798165137,0.1313364055299539,0.20994475138121546,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.26481835564053535,0.678921568627451,0.3810178817056396,408.0,
Fear,0.5851528384279476,0.4364820846905538,0.5,307.0,
Happiness,0.9568627450980393,0.4118143459915612,0.575811209439528,1185.0,
Neutral,0.5097345132743363,0.4235294117647059,0.46265060240963857,680.0,
Sadness,0.6620370370370371,0.5983263598326359,0.6285714285714286,478.0,
Surprise,0.3811074918566775,0.7112462006079028,0.49628844114528103,329.0,
accuracy,,,,,0.46165925150484166
macro avg,0.4853310951438859,0.42395704713059557,0.40678553933159145,3821.0,
weighted avg,0.6377863986996496,0.46165925150484166,0.48697881461755654,3821.0,
