class_name,precision,recall,f1-score,support,value
Angry,0.6840579710144927,0.543778801843318,0.6059050064184852,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.44036697247706424,0.5882352941176471,0.5036726128016789,408.0,
Fear,0.6171875,0.5146579804560261,0.5612788632326821,307.0,
Happiness,0.866913123844732,0.7915611814345992,0.827525363917071,1185.0,
Neutral,0.7314974182444062,0.625,0.6740681998413958,680.0,
Sadness,0.7591743119266054,0.6924686192468619,0.7242888402625821,478.0,
Surprise,0.6127167630057804,0.6443768996960486,0.6281481481481481,329.0,
accuracy,,,,,0.6647474483119602
macro avg,0.5889892575641351,0.5500098470993127,0.5656108793277554,3821.0,
weighted avg,0.7210695836123933,0.6647474483119602,0.688989413331922,3821.0,
