class_name,precision,recall,f1-score,support,value
Angry,0.6772486772486772,0.5898617511520737,0.6305418719211823,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.4781704781704782,0.5637254901960784,0.5174353205849269,408.0,
Fear,0.5977011494252874,0.50814332247557,0.5492957746478874,307.0,
Happiness,0.8237232289950577,0.8438818565400844,0.8336807002917882,1185.0,
Neutral,0.7829313543599258,0.6205882352941177,0.6923707957342083,680.0,
Sadness,0.72,0.7154811715481172,0.7177334732423925,478.0,
Surprise,0.6417445482866043,0.6261398176291794,0.6338461538461538,329.0,
accuracy,,,,,0.6835906830672599
macro avg,0.5901899295607539,0.5584777056044026,0.5718630112835674,3821.0,
weighted avg,0.716124846271455,0.6835906830672599,0.6971312069614298,3821.0,
