class_name,precision,recall,f1-score,support,value
Angry,0.5283018867924528,0.12903225806451613,0.2074074074074074,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.27037773359840955,0.6666666666666666,0.38472418670438474,408.0,
Fear,0.5688888888888889,0.4169381107491857,0.48120300751879697,307.0,
Happiness,0.9571150097465887,0.41434599156118146,0.5783274440518257,1185.0,
Neutral,0.47877758913412566,0.4147058823529412,0.4444444444444444,680.0,
Sadness,0.6116700201207244,0.6359832635983264,0.6235897435897436,478.0,
Surprise,0.3975481611208406,0.6899696048632219,0.5044444444444445,329.0,
accuracy,,,,,0.46061240512954726
macro avg,0.4765849111752538,0.42095522223200493,0.40301758477013094,3821.0,
weighted avg,0.6273665754651506,0.46061240512954726,0.48319549054703737,3821.0,
