class_name,precision,recall,f1-score,support,value
Angry,0.580952380952381,0.14055299539170507,0.22634508348794063,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.27655310621242485,0.6764705882352942,0.39260312944523473,408.0,
Fear,0.5954545454545455,0.42671009771986973,0.4971537001897533,307.0,
Happiness,0.9482142857142857,0.4481012658227848,0.6085959885386819,1185.0,
Neutral,0.5566037735849056,0.4338235294117647,0.48760330578512395,680.0,
Sadness,0.6495726495726496,0.6359832635983264,0.642706131078224,478.0,
Surprise,0.3877551020408163,0.6930091185410334,0.49727371864776443,329.0,
accuracy,,,,,0.47788537032190526
macro avg,0.4993882304415011,0.43183135734009725,0.4190351321465904,3821.0,
weighted avg,0.6511288133469948,0.47788537032190526,0.5063112032055495,3821.0,
