class_name,precision,recall,f1-score,support,value
Angry,0.7142857142857143,0.38018433179723504,0.49624060150375937,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.3788546255506608,0.6323529411764706,0.4738292011019284,408.0,
Fear,0.594488188976378,0.49185667752442996,0.5383244206773619,307.0,
Happiness,0.8853955375253549,0.7367088607594937,0.8042376784891755,1185.0,
Neutral,0.73558648111332,0.5441176470588235,0.6255283178360102,680.0,
Sadness,0.685370741482966,0.7154811715481172,0.7001023541453428,478.0,
Surprise,0.56,0.6382978723404256,0.5965909090909091,329.0,
accuracy,,,,,0.6199947657681235
macro avg,0.5692476611167994,0.5173749377756245,0.5293566853555609,3821.0,
weighted avg,0.7087988209353255,0.6199947657681235,0.6498991289611912,3821.0,
