class_name,precision,recall,f1-score,support,value
Angry,0.5247524752475248,0.12211981566820276,0.19813084112149532,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.27013752455795675,0.6740196078431373,0.3856942496493689,408.0,
Fear,0.5765765765765766,0.4169381107491857,0.4839319470699433,307.0,
Happiness,0.9578313253012049,0.40253164556962023,0.5668449197860963,1185.0,
Neutral,0.49911504424778763,0.4147058823529412,0.4530120481927711,680.0,
Sadness,0.6260330578512396,0.6338912133891214,0.6299376299376299,478.0,
Surprise,0.37964458804523427,0.7142857142857143,0.4957805907172996,329.0,
accuracy,,,,,0.458780423972782
macro avg,0.47926132397844057,0.4223114987322404,0.4016665283093255,3821.0,
weighted avg,0.6316521630401151,0.458780423972782,0.48047646449304665,3821.0,
