file,path,true_emotion,true_idx,predicted_idx,predicted_emotion,correct,confidence
m_fear_m10_face_0_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Fear\m_fear_m10_face_0_conf_1.00.jpg,Fear,3,0,Angry,False,0.7919900417327881
m_fear_m11_face_23_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Fear\m_fear_m11_face_23_conf_1.00.jpg,Fear,3,0,Angry,False,0.9902417063713074
m_fear_m11_face_3_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Fear\m_fear_m11_face_3_conf_1.00.jpg,Fear,3,3,Fear,True,0.46281561255455017
m_fear_m12_face_11_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Fear\m_fear_m12_face_11_conf_1.00.jpg,Fear,3,3,Fear,True,0.6232059597969055
m_fear_m12_face_12_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Fear\m_fear_m12_face_12_conf_1.00.jpg,Fear,3,3,Fear,True,0.5796924829483032
m_fear_m12_face_23_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Fear\m_fear_m12_face_23_conf_1.00.jpg,Fear,3,0,Angry,False,0.4216523766517639
m_fear_m13_face_10_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Fear\m_fear_m13_face_10_conf_1.00.jpg,Fear,3,3,Fear,True,0.9427255988121033
m_fear_m13_face_14_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Fear\m_fear_m13_face_14_conf_1.00.jpg,Fear,3,3,Fear,True,0.9401375651359558
m_fear_m13_face_15_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Fear\m_fear_m13_face_15_conf_1.00.jpg,Fear,3,3,Fear,True,0.9476705193519592
m_fear_m14_face_11_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Fear\m_fear_m14_face_11_conf_1.00.jpg,Fear,3,3,Fear,True,0.7582157850265503
