file,path,true_emotion,true_idx,predicted_idx,predicted_emotion,correct,confidence
m_disg_men10_face_5_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men10_face_5_conf_1.00.jpg,Disgust,2,0,Angry,False,0.44075149297714233
m_disg_men11_face_1_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men11_face_1_conf_1.00.jpg,Disgust,2,0,Angry,False,0.6511787176132202
m_disg_men11_face_9_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men11_face_9_conf_1.00.jpg,Disgust,2,0,Angry,False,0.9306938648223877
m_disg_men12_face_5_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men12_face_5_conf_1.00.jpg,Disgust,2,0,Angry,False,0.9138914942741394
m_disg_men12_face_6_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men12_face_6_conf_1.00.jpg,Disgust,2,0,Angry,False,0.3376179337501526
m_disg_men12_face_9_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men12_face_9_conf_1.00.jpg,Disgust,2,0,Angry,False,0.9446274042129517
m_disg_men13_face_10_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men13_face_10_conf_1.00.jpg,Disgust,2,0,Angry,False,0.9465903639793396
m_disg_men13_face_3_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men13_face_3_conf_1.00.jpg,Disgust,2,0,Angry,False,0.9521385431289673
m_disg_men13_face_5_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men13_face_5_conf_1.00.jpg,Disgust,2,0,Angry,False,0.9931185245513916
m_disg_men14_face_17_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men14_face_17_conf_1.00.jpg,Disgust,2,0,Angry,False,0.5950208902359009
m_disg_men14_face_18_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men14_face_18_conf_1.00.jpg,Disgust,2,0,Angry,False,0.982377827167511
m_disg_men15_face_2_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men15_face_2_conf_1.00.jpg,Disgust,2,6,Sad,False,0.35268712043762207
m_disg_men15_face_6_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men15_face_6_conf_1.00.jpg,Disgust,2,0,Angry,False,0.9331093430519104
m_disg_men16_face_10_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men16_face_10_conf_1.00.jpg,Disgust,2,0,Angry,False,0.9691423177719116
m_disg_men16_face_11_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men16_face_11_conf_1.00.jpg,Disgust,2,0,Angry,False,0.8476541042327881
m_disg_men18_face_3_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men18_face_3_conf_1.00.jpg,Disgust,2,3,Fear,False,0.41453924775123596
m_disg_men1_face_10_conf_1.00.jpg,C:\Users\ilias\Python\Thesis-Project\data\synthetic\test_splits\100M_100W\Disgust\m_disg_men1_face_10_conf_1.00.jpg,Disgust,2,0,Angry,False,0.9963724613189697
