class_name,precision,recall,f1-score,support,value
Angry,0.5966386554621849,0.16359447004608296,0.25678119349005424,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.29508196721311475,0.7058823529411765,0.4161849710982659,408.0,
Fear,0.6183574879227053,0.4169381107491857,0.4980544747081712,307.0,
Happiness,0.9292035398230089,0.5316455696202531,0.6763285024154589,1185.0,
Neutral,0.661504424778761,0.43970588235294117,0.5282685512367491,680.0,
Sadness,0.6412825651302605,0.6694560669456067,0.6550665301944729,478.0,
Surprise,0.41544117647058826,0.6869300911854104,0.5177548682703322,329.0,
accuracy,,,,,0.5134781470819157
macro avg,0.519688727100078,0.4517690679800821,0.44355488642668806,3821.0,
weighted avg,0.6708486743304687,0.5134781470819157,0.5439110895617353,3821.0,
