class_name,precision,recall,f1-score,support,value
Angry,0.5481481481481482,0.17050691244239632,0.2601054481546573,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.2622641509433962,0.6813725490196079,0.3787465940054496,408.0,
Fear,0.5866666666666667,0.42996742671009774,0.49624060150375937,307.0,
Happiness,0.9499036608863198,0.4160337552742616,0.5786384976525821,1185.0,
Neutral,0.5415821501014199,0.3926470588235294,0.45524296675191817,680.0,
Sadness,0.6536697247706422,0.5962343096234309,0.6236323851203501,478.0,
Surprise,0.3876500857632933,0.6869300911854104,0.4956140350877193,329.0,
accuracy,,,,,0.4593038471604292
macro avg,0.4912355734099858,0.42171151288484177,0.4110275660345545,3821.0,
weighted avg,0.6435251095063108,0.4593038471604292,0.49101423037320074,3821.0,
